Jan  1 14:36:00  info	Asking for top...
Jan  1 14:36:00  info	Doing -all_status
Jan  1 14:36:00  info	Doing -user
JobId		Status		User		Command name					Submithost

1055578599	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578601	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578608	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578610	ERROR_E 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578614	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578617	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578760	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578761	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578772	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578801	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578806	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578814	ERROR_E 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578815	ERROR_E 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578820	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578824	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578829	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578897	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578903	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578905	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578913	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578915	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578916	ERROR_E 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578922	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578957	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055579019	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055579031	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055579035	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055579043	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055579044	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055579045	ERROR_E 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055579047	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055579048	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055579054	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055579062	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055579063	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055579109	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055579136	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055579137	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055579149	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055579151	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055579152	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055579279	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	pcapiserv03.cern.ch 

1055579280	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	pcapiserv03.cern.ch 

